Nama,phone,Minat_Prodi,Gelombang,Asal_Sekolah
Gangsar Pradipta,+6281569132203,Desain Komunikasi Visual,Gelombang 1,SMA Negeri 3 Surabaya
"R.M. Hardana Astuti, M.M.",+6285704378548,Arsitektur,Gelombang 2,SMA Negeri 4 Semarang
Gina Mustofa,+6287862705408,Teknik Sipil,Gelombang 2,SMA Negeri 5 Yogyakarta
"Dr. Amelia Aryani, S.E.I",+6282178819399,Arsitektur,Gelombang 3,SMA Negeri 1 Medan
Padmi Purwanti,+6282297980669,Psikologi,Gelombang 2,SMA Negeri 2 Makassar
"Halima Dongoran, S.Pt",+6281755469524,Manajemen,Gelombang 3,SMA Negeri 3 Palembang
"Kasim Suwarno, S.IP",+6281403116249,Ilmu Komunikasi,Gelombang 1,SMA Negeri 1 Denpasar
Hj. Lili Saptono,+6282181628838,Bisnis Digital,Gelombang 1,SMA Negeri 2 Malang
Balijan Puspita,+6281756116033,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 1 Bogor
Drs. Septi Putra,+6281613483830,Bisnis Digital,Gelombang 1,SMA Negeri 2 Tangerang
Adikara Mayasari,+6281780963539,Teknik Sipil,Gelombang 1,SMA Negeri 3 Bekasi
Vicky Damanik,+6282203050624,Bisnis Digital,Gelombang 1,SMA Negeri 1 Depok
R.A. Puspa Wastuti,+6281401299563,Arsitektur,Gelombang 1,SMK Negeri 1 Jakarta
Dimas Iswahyudi,+6285306793889,Psikologi,Gelombang 2,SMK Negeri 2 Bandung
Cager Hidayanto,+6287756107363,Sistem Informasi,Gelombang 1,SMK Negeri 3 Surabaya
drg. Jinawi Wahyudin,+6281209089864,Ilmu Komunikasi,Gelombang 1,MAN 1 Jakarta
Kania Melani,+6282168993518,Teknik Sipil,Gelombang 1,MAN 2 Bandung
Oliva Haryanti,+6282349439032,Bisnis Digital,Gelombang 2,SMA Kristen 1 Jakarta
"Zamira Wijayanti, S.Psi",+6281916649606,Arsitektur,Gelombang 1,SMA Katolik 1 Surabaya
"Genta Dongoran, S.Psi",+6285236445409,Informatika,Gelombang 2,SMA Muhammadiyah 1 Yogyakarta
R. Zelaya Setiawan,+6285914069377,Psikologi,Gelombang 3,SMA Al-Azhar 1 Jakarta
R.M. Danu Kusmawati,+6282328711991,Manajemen,Gelombang 3,SMA Plus Pembangunan Jaya
"Rahmat Prayoga, S.IP",+6282299838620,Teknik Sipil,Gelombang 2,SMK Negeri 1 Makassar
Tri Saefullah,+6287782014188,Teknik Sipil,Gelombang 3,SMK Negeri 1 Medan
Najam Wasita,+6285774287355,Teknik Sipil,Gelombang 1,SMA Negeri 1 Padang
Zalindra Prabowo,+6285818475882,Akuntansi,Gelombang 1,SMA Negeri 2 Palembang
Ciaobella Rajata,+6281625581237,Ilmu Komunikasi,Gelombang 1,SMA Negeri 1 Samarinda
Dt. Carub Siregar,+6287749384870,Desain Komunikasi Visual,Gelombang 2,SMA Negeri 1 Manado
